Data/Hora,Protocolo,IP Origem,IP Destino,Tamanho
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,120
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,640
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,231
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,821
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,821
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,84
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,318
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,264
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,523
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,640
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,fd00:0:0:1::2,2600:1419:3e00:c::214:b665,72
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
2025-11-09 22:03:00,HTTPS,2600:1419:3e00:c::214:b665,fd00:0:0:1::2,1472
