Data/Hora,Protocolo,IP Origem,Porta Origem,IP Destino,Porta Destino,Tamanho
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,120
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,640
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,231
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,821
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,821
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,84
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,318
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,264
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,523
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,fd00:0:0:1::2,58528,2600:1419:3e00:c::214:b665,443,72
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
2025-11-09 22:03:00,TCP,2600:1419:3e00:c::214:b665,443,fd00:0:0:1::2,58528,1472
